DPV_timestamp,DPV_Gowning,DPV_Good_In,DPV_Washdown,DPV_Messanin,time,start_date,end_date
01/02/2024 00:00,0.1,0.2,0.1,0.2,01/02/2024 00:00,01/02/2024 00:00,01/02/2024 00:00
01/02/2024 00:15,0.2,0.4,0,0.1,01/02/2024 00:15,01/02/2024 00:15,01/02/2024 00:15
01/02/2024 00:30,0.2,0.2,0.2,0.2,01/02/2024 00:30,01/02/2024 00:30,01/02/2024 00:30
01/02/2024 00:45,0.1,0.2,0.1,0.1,01/02/2024 00:45,01/02/2024 00:45,01/02/2024 00:45
01/02/2024 01:00,0.4,0.2,0.2,0.1,01/02/2024 01:00,01/02/2024 01:00,01/02/2024 01:00
01/02/2024 01:15,0.2,0.2,0.1,0.1,01/02/2024 01:15,01/02/2024 01:15,01/02/2024 01:15
01/02/2024 01:30,0.2,0.5,0.1,0.2,01/02/2024 01:30,01/02/2024 01:30,01/02/2024 01:30
01/02/2024 01:45,0.3,0.2,0.2,0.2,01/02/2024 01:45,01/02/2024 01:45,01/02/2024 01:45
01/02/2024 02:00,0.1,0.3,0.1,0.1,01/02/2024 02:00,01/02/2024 02:00,01/02/2024 02:00
01/02/2024 02:15,0.2,0.2,0.1,0.2,01/02/2024 02:15,01/02/2024 02:15,01/02/2024 02:15
01/02/2024 02:30,0.1,0.3,0.1,0.1,01/02/2024 02:30,01/02/2024 02:30,01/02/2024 02:30
01/02/2024 02:45,0.3,0.2,0.1,0.1,01/02/2024 02:45,01/02/2024 02:45,01/02/2024 02:45
01/02/2024 03:00,0.4,0.1,0.1,0.2,01/02/2024 03:00,01/02/2024 03:00,01/02/2024 03:00
01/02/2024 03:15,0.1,0.3,0,0.2,01/02/2024 03:15,01/02/2024 03:15,01/02/2024 03:15
01/02/2024 03:30,0.1,0.2,0.1,0.1,01/02/2024 03:30,01/02/2024 03:30,01/02/2024 03:30
01/02/2024 03:45,0.2,0.2,0.2,0.2,01/02/2024 03:45,01/02/2024 03:45,01/02/2024 03:45
01/02/2024 04:00,0.2,0.4,0.1,0.1,01/02/2024 04:00,01/02/2024 04:00,01/02/2024 04:00
01/02/2024 04:15,0.1,0.3,0.1,0.4,01/02/2024 04:15,01/02/2024 04:15,01/02/2024 04:15
01/02/2024 04:30,0.2,0.4,0.1,0.1,01/02/2024 04:30,01/02/2024 04:30,01/02/2024 04:30
01/02/2024 04:45,0.1,0.2,0.1,0.1,01/02/2024 04:45,01/02/2024 04:45,01/02/2024 04:45
01/02/2024 05:00,0,0.1,0.1,0.2,01/02/2024 05:00,01/02/2024 05:00,01/02/2024 05:00
01/02/2024 05:15,0.2,0.2,0.1,0.2,01/02/2024 05:15,01/02/2024 05:15,01/02/2024 05:15
01/02/2024 05:30,0.3,0.2,0.1,0.1,01/02/2024 05:30,01/02/2024 05:30,01/02/2024 05:30
01/02/2024 05:45,0.1,0.2,0,0.4,01/02/2024 05:45,01/02/2024 05:45,01/02/2024 05:45
01/02/2024 06:00,0.3,0.1,0,0.2,01/02/2024 06:00,01/02/2024 06:00,01/02/2024 06:00
01/02/2024 06:15,0.2,0.1,0,0.3,01/02/2024 06:15,01/02/2024 06:15,01/02/2024 06:15
01/02/2024 06:30,0.2,0.2,0.1,0.1,01/02/2024 06:30,01/02/2024 06:30,01/02/2024 06:30
01/02/2024 06:45,0.2,0.2,0.2,0.2,01/02/2024 06:45,01/02/2024 06:45,01/02/2024 06:45
